,Acronym,RosterID,Interceptions,InterceptionsYards,InterceptionTDs,PassDefended,ForcedFumbles,FumblesRecovered,FumbleYards,FumbleTDs,Sacks,CombinedTackles,SoloTackles,AssistedTackles,TacklesForLoss,QbHits,Safeties
240,cin,sfo17TravisBenjamin,,,,,,,,,0.0,11.0,8.0,3.0,0.0,0.0,
241,cin,sfo97NickBosa,,,,,,,,,,,,,,,
242,cin,sfo64JakeBrendel,,,,,,,,,,,,,,,
243,cin,sfo60DanielBrunskill,,,,,,,,,,,,,,,
244,cin,sfo40TrentonCannon,,,,,,,,,0.0,6.0,3.0,3.0,0.0,0.0,
245,cin,sfo66TomCompton,,,,,,,,,,,,,,,
246,cin,sfo13RiverCracraft,,,,,,,,,,,,,,,
247,cin,sfo43DarquezeDennard,,,,,,,,,,,,,,,
248,cin,sfo82RossDwelley,,,,,,,,,,,,,,,
249,cin,sfo56SamsonEbukam,,,,,,,,,,,,,,,
250,cin,sfo45DemetriusFlannigan-Fowles,,,,,,,,,,,,,,,
251,cin,sfo55DeeFord,4.0,31.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,100.0,57.0,43.0,5.0,1.0,
252,cin,sfo10JimmyGaroppolo,,,,,,,,,,,,,,,
253,cin,sfo90KevinGivens,,,,,1.0,1.0,4.0,0.0,0.0,9.0,5.0,4.0,1.0,2.0,
254,cin,sfo09RobbieGould,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
255,cin,sfo57DreGreenlaw,1.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.5,91.0,57.0,34.0,5.0,2.0,
256,cin,sfo26DavontaeHarris,0.0,0.0,0.0,1.0,,,,,0.0,12.0,11.0,1.0,0.0,0.0,
257,cin,sfo36MarcellHarris,,,,,,,,,,,,,,,
258,cin,sfo23JamycalHasty,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,
259,cin,sfo35BrianHill,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,
260,cin,sfo84TannerHudson,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
261,cin,sfo29TalanoaHufanga,,,,,,,,,0.0,5.0,1.0,4.0,0.0,0.0,
262,cin,sfo96MauriceHurst,,,,,,,,,1.5,14.0,9.0,5.0,1.0,5.0,
263,cin,sfo25TonyJefferson,,,,,,,,,0.0,4.0,4.0,0.0,0.0,0.0,
264,cin,sfo15JauanJennings,,,,,,,,,,,,,,,
265,cin,sfo27DontaeJohnson,,,,,,,,,,,,,,,
266,cin,sfo48KerryonJohnson,,,,,,,,,0.0,6.0,4.0,2.0,0.0,0.0,
267,cin,sfo93D.J.Jones,,,,,1.0,0.0,0.0,0.0,1.0,15.0,5.0,10.0,0.0,2.0,
268,cin,sfo44KyleJuszczyk,,,,,1.0,0.0,0.0,0.0,0.0,17.0,8.0,9.0,0.0,0.0,
269,cin,sfo92ZachKerr,,,,,,,,,5.5,50.0,29.0,21.0,6.0,12.0,
270,cin,sfo98ArdenKey,,,,,,,,,2.0,43.0,22.0,21.0,3.0,7.0,
271,cin,sfo99JavonKinlaw,,,,,,,,,0.0,4.0,1.0,3.0,0.0,0.0,
272,cin,sfo13DreKirkpatrick,,,,,,,,,,,,,,,
